Date,AvgTemp
2016-8-22,22.200000000000003
2016-8-23,21.950000000000003
2016-8-24,25.55
2016-8-25,25.3
2016-8-26,28.05
2016-8-27,27.25
2016-8-28,26.95
2016-8-29,28.049999999999997
2016-8-30,25.3
2016-8-31,27.5
2016-9-1,23.35
2016-9-2,23.049999999999997
2016-9-3,21.4
2016-9-4,22.5
2016-9-5,23.6
2016-9-6,24.2
2016-9-7,25.549999999999997
2016-9-8,26.7
2016-9-9,28.349999999999998
2016-9-10,27.75
2016-9-11,23.85
2016-9-12,21.15
2016-9-13,23.05
2016-9-14,26.099999999999998
2016-9-15,19.700000000000003
2016-9-16,19.450000000000003
2016-9-17,20
2016-9-18,24.450000000000003
2016-9-19,22.5
2016-9-20,23.9
2016-9-21,24.45
2016-9-22,24.15
2016-9-23,24.200000000000003
2016-9-24,18.05
2016-9-25,16.65
2016-9-26,17.75
2016-9-27,20.55
2016-9-28,16.950000000000003
2016-9-29,15.850000000000001
2016-9-30,14.15
2016-10-1,15
2016-10-2,15.55
2016-10-3,18.9
2016-10-4,18.1
2016-10-5,15.549999999999999
2016-10-6,17.8
2016-10-7,18.9
2016-10-8,17.2
2016-10-9,14.45
2016-10-10,13.05
2016-10-11,12.5
2016-10-12,15.299999999999999
2016-10-13,15.549999999999999
2016-10-14,12.5
2016-10-15,12.75
2016-10-16,16.15
2016-10-17,22.2
2016-10-18,23.299999999999997
2016-10-19,23.85
2016-10-20,18.9
2016-10-21,17.25
2016-10-22,11.100000000000001
2016-10-23,11.65
2016-10-24,12.5
2016-10-25,8.6
2016-10-26,6.949999999999999
2016-10-27,8.600000000000001
2016-10-28,8.1
2016-10-29,10.85
2016-10-30,18.299999999999997
2016-10-31,9.45
2016-11-1,9.4
2016-11-2,16.65
2016-11-3,18.05
2016-11-4,12.200000000000001
2016-11-5,11.7
2016-11-6,11.1
2016-11-7,8.35
2016-11-8,11.95
2016-11-9,12.2
2016-11-10,8.850000000000001
2016-11-11,11.1
2016-11-12,6.4
2016-11-13,10.55
2016-11-14,12.25
2016-11-15,10.8
2016-11-16,11.65
2016-11-17,12.75
2016-11-18,12.25
2016-11-19,10
2016-11-20,3.3499999999999996
2016-11-21,3.6
2016-11-22,3.9
2016-11-23,4.45
2016-11-24,6.1
2016-11-25,9.7
2016-11-26,7.2
2016-11-27,6.95
2016-11-28,7.199999999999999
2016-11-29,13.1
2016-11-30,12.2
2016-12-1,8.899999999999999
2016-12-2,7.5
2016-12-3,6.65
2016-12-4,6.1000000000000005
2016-12-5,6.35
2016-12-6,5.3
2016-12-7,6.1
2016-12-8,4.45
2016-12-9,1.15
2016-12-10,-0.20000000000000007
2016-12-11,-0.20000000000000007
2016-12-12,4.45
2016-12-13,3.9
2016-12-14,3.3499999999999996
2016-12-15,-3
2016-12-16,-5.449999999999999
2016-12-17,-0.19999999999999996
2016-12-18,6.95
2016-12-19,-2.7
2016-12-20,-3
2016-12-21,1.7000000000000002
2016-12-22,6.1
2016-12-23,5.800000000000001
2016-12-24,5.800000000000001
2016-12-25,6.1
2016-12-26,5.3
2016-12-27,10
2016-12-28,2.75
2016-12-29,4.2
2016-12-30,2.5
2016-12-31,3.1
